gamma,tJ,y-axis
0.1J,0,0.00000000
,0.5,3.91452331
,1,6.50350541
,3.5,9.09133680
,6,7.23428754
,8.5,6.95975187
,11,6.98492753
,13.5,7.35064724
,16,7.47415839
,18.5,7.16877292
,21,7.03377178
,23.5,7.21290944
,26,7.31057444
,28.5,7.24311922
,31,7.15713174
,33.5,7.17116884
,36,7.23175005
,38.5,7.24041186
,41,7.20367876
,43.5,7.18337870
,46,7.20277163
,48.5,7.22460159
,49.4,7.22492698
,49.9,7.22341686
,,
0.2J,0,0.00000000
,0.5,3.84474197
,1,6.15342243
,3.5,9.07317314
,6,7.88402687
,8.5,7.51932046
,11,7.52237292
,13.5,7.69179480
,16,7.76565008
,18.5,7.68632101
,21,7.62733522
,23.5,7.65651056
,26,7.69092396
,28.5,7.68552767
,31,7.66719509
,33.5,7.66470264
,36,7.67314024
,38.5,7.67690757
,41,7.67370617
,43.5,7.67066445
,46,7.67153909
,48.5,7.67348049
,49.4,7.67374838
,49.9,7.67377114
,,
0.5J,0,0.00000000
,0.5,3.64532162
,1,5.27159735
,3.5,7.45026014
,6,7.20303250
,8.5,7.04365875
,11,7.02053414
,13.5,7.05025838
,16,7.06510744
,18.5,7.06192741
,21,7.05777803
,23.5,7.05839784
,26,7.06035287
,28.5,7.06121722
,31,7.06140683
,33.5,7.06168984
,36,7.06213856
,38.5,7.06255929
,41,7.06288317
,43.5,7.06315257
,46,7.06340114
,48.5,7.06363412
,49.4,7.06371557
,49.9,7.06376074
