gamma,tJ,y-axis
0.1J,0,0.00000000
,0.5,0.92546860
,1,1.74106994
,3.5,3.04111443
,6,2.34774032
,8.5,2.27304553
,11,2.27182722
,13.5,2.40861976
,16,2.46524165
,18.5,2.36026410
,21,2.31212466
,23.5,2.37189692
,26,2.41039782
,28.5,2.38741219
,31,2.35680016
,33.5,2.36069301
,36,2.38208381
,38.5,2.38625210
,41,2.37337011
,43.5,2.36584315
,46,2.37239204
,48.5,2.38044404
,49.4,2.38067753
,49.9,2.38019048
,,
0.2J,0,0.00000000
,0.5,0.89735291
,1,1.63213253
,3.5,2.97329217
,6,2.57853009
,8.5,2.43354672
,11,2.42339411
,13.5,2.48235703
,16,2.52009267
,18.5,2.49277955
,21,2.46897406
,23.5,2.47803919
,26,2.49149744
,28.5,2.49045332
,31,2.48364055
,33.5,2.48223035
,36,2.48520077
,38.5,2.48683965
,41,2.48578831
,43.5,2.48457821
,46,2.48480867
,48.5,2.48554427
,49.4,2.48566411
,49.9,2.48568370
,,
0.5J,0,0.00000000
,0.5,0.81865213
,1,1.35158874
,3.5,2.18637422
,6,2.14228015
,8.5,2.08799201
,11,2.07433368
,13.5,2.08285616
,16,2.08962836
,18.5,2.08936913
,21,2.08785055
,23.5,2.08797771
,26,2.08880521
,28.5,2.08932632
,31,2.08957907
,33.5,2.08984889
,36,2.09019857
,38.5,2.09056637
,41,2.09092222
,43.5,2.09128194
,46,2.09166357
,48.5,2.09207747
,49.4,2.09223653
,49.9,2.09232780
